El	Pl	Ep	Pp	Epi	Ppi
5.123	5.000	4.129	4.021	0.994	0.985
5.123	5.000	4.044	3.933	1.079	1.070
5.123	5.000	4.161	4.054	0.962	0.952
5.123	5.000	4.540	4.442	0.583	0.566
5.123	5.000	4.322	4.219	0.801	0.789
5.123	5.000	4.569	4.472	0.554	0.536
5.123	5.000	4.721	4.627	0.402	0.377
5.123	5.000	4.100	3.991	1.023	1.014
5.123	5.000	3.981	3.869	1.141	1.133
5.123	5.000	4.482	4.383	0.641	0.626
5.123	5.000	4.210	4.104	0.913	0.902
5.123	5.000	4.515	4.417	0.608	0.592
5.123	5.000	4.544	4.446	0.579	0.562
5.123	5.000	4.421	4.320	0.702	0.688
5.123	5.000	4.317	4.214	0.806	0.794
5.123	5.000	4.024	3.913	1.099	1.090
5.123	5.000	4.167	4.060	0.956	0.946
5.123	5.000	4.617	4.521	0.506	0.486
5.123	5.000	3.909	3.795	1.214	1.206
5.123	5.000	4.659	4.563	0.464	0.443
5.123	5.000	4.370	4.268	0.753	0.740
5.123	5.000	4.182	4.076	0.941	0.930
5.123	5.000	4.356	4.253	0.767	0.755
5.123	5.000	4.181	4.075	0.942	0.931
5.123	5.000	4.196	4.090	0.927	0.916
5.123	5.000	4.172	4.065	0.951	0.941
5.123	5.000	4.715	4.621	0.408	0.383
5.123	5.000	3.870	3.755	1.253	1.245
5.123	5.000	4.465	4.365	0.658	0.643
5.123	5.000	4.089	3.980	1.034	1.025
5.123	5.000	4.076	3.967	1.047	1.037
5.123	5.000	4.553	4.456	0.570	0.552
5.123	5.000	4.207	4.102	0.915	0.905
5.123	5.000	4.428	4.328	0.695	0.681
5.123	5.000	3.962	3.849	1.161	1.152
5.123	5.000	4.111	4.002	1.012	1.003
5.123	5.000	4.402	4.301	0.721	0.707
5.123	5.000	4.245	4.140	0.878	0.867
5.123	5.000	3.971	3.859	1.152	1.143
5.123	5.000	4.277	4.173	0.846	0.834
5.123	5.000	3.852	3.736	1.271	1.263
5.123	5.000	4.265	4.160	0.858	0.847
5.123	5.000	3.982	3.870	1.141	1.133
5.123	5.000	4.226	4.121	0.897	0.886
5.123	5.000	3.863	3.747	1.260	1.252
5.123	5.000	4.538	4.440	0.585	0.568
5.123	5.000	3.873	3.758	1.250	1.242
5.123	5.000	4.700	4.605	0.423	0.399
5.123	5.000	4.189	4.082	0.934	0.924
5.123	5.000	4.374	4.272	0.749	0.736
5.123	5.000	3.949	3.836	1.174	1.166
5.123	5.000	4.323	4.220	0.800	0.787
5.123	5.000	4.597	4.500	0.526	0.507
5.123	5.000	4.004	3.893	1.119	1.110
5.123	5.000	4.325	4.222	0.798	0.786
5.123	5.000	4.385	4.283	0.738	0.725
5.123	5.000	4.571	4.473	0.552	0.534
5.123	5.000	4.671	4.576	0.452	0.430
5.123	5.000	4.476	4.376	0.647	0.632
5.123	5.000	4.117	4.009	1.006	0.996
5.123	5.000	4.627	4.531	0.496	0.476
5.123	5.000	4.004	3.893	1.119	1.110
5.123	5.000	4.505	4.406	0.618	0.602
5.123	5.000	3.988	3.876	1.135	1.127
5.123	5.000	4.342	4.240	0.781	0.768
5.123	5.000	4.149	4.042	0.974	0.964
5.123	5.000	4.646	4.550	0.477	0.456
5.123	5.000	4.501	4.402	0.622	0.606
5.123	5.000	4.517	4.418	0.606	0.590
5.123	5.000	4.260	4.155	0.863	0.852
5.123	5.000	4.296	4.193	0.827	0.815
5.123	5.000	4.214	4.108	0.909	0.899
5.123	5.000	4.586	4.489	0.537	0.519
5.123	5.000	3.933	3.819	1.190	1.182
5.123	5.000	4.193	4.087	0.930	0.919
5.123	5.000	4.196	4.090	0.927	0.916
5.123	5.000	4.059	3.949	1.064	1.055
5.123	5.000	4.414	4.313	0.709	0.695
5.123	5.000	3.857	3.741	1.266	1.258
5.123	5.000	4.579	4.482	0.544	0.526
5.123	5.000	4.215	4.109	0.908	0.898
5.123	5.000	4.268	4.164	0.855	0.843
5.123	5.000	4.085	3.976	1.038	1.028
5.123	5.000	3.850	3.733	1.273	1.266
5.123	5.000	4.136	4.029	0.987	0.977
5.123	5.000	4.255	4.151	0.868	0.856
5.123	5.000	4.272	4.168	0.851	0.839
5.123	5.000	4.329	4.226	0.794	0.782
5.123	5.000	3.938	3.825	1.185	1.177
5.123	5.000	4.243	4.138	0.880	0.869
5.123	5.000	4.182	4.075	0.941	0.931
5.123	5.000	4.074	3.964	1.049	1.040
5.123	5.000	4.073	3.963	1.050	1.041
5.123	5.000	4.493	4.394	0.630	0.614
5.123	5.000	4.222	4.116	0.901	0.890
5.123	5.000	4.506	4.407	0.617	0.601
5.123	5.000	4.639	4.543	0.484	0.464
5.123	5.000	4.433	4.333	0.690	0.675
5.123	5.000	3.867	3.752	1.256	1.248
5.123	5.000	4.329	4.226	0.794	0.782
5.123	5.000	3.844	3.728	1.279	1.271
5.123	5.000	4.363	4.261	0.760	0.747
5.123	5.000	3.862	3.746	1.261	1.254
5.123	5.000	4.385	4.284	0.738	0.725
5.123	5.000	4.004	3.893	1.119	1.110
5.123	5.000	4.496	4.397	0.627	0.611
5.123	5.000	4.439	4.338	0.684	0.670
5.123	5.000	4.279	4.175	0.844	0.832
5.123	5.000	4.216	4.111	0.907	0.896
5.123	5.000	4.616	4.520	0.506	0.487
5.123	5.000	4.029	3.918	1.094	1.085
5.123	5.000	4.330	4.227	0.793	0.781
5.123	5.000	4.209	4.103	0.914	0.903
5.123	5.000	4.057	3.947	1.066	1.057
5.123	5.000	4.655	4.559	0.468	0.447
5.123	5.000	4.286	4.182	0.837	0.825
5.123	5.000	4.573	4.476	0.550	0.532
5.123	5.000	4.139	4.031	0.984	0.974
5.123	5.000	4.446	4.346	0.677	0.663
5.123	5.000	3.864	3.748	1.259	1.251
5.123	5.000	4.524	4.426	0.599	0.582
5.123	5.000	4.237	4.132	0.886	0.875
5.123	5.000	4.178	4.071	0.945	0.935
5.123	5.000	4.014	3.902	1.109	1.100
5.123	5.000	4.237	4.132	0.886	0.875
5.123	5.000	4.225	4.120	0.898	0.887
5.123	5.000	4.358	4.256	0.765	0.752
5.123	5.000	4.530	4.432	0.593	0.577
5.123	5.000	4.606	4.509	0.517	0.498
5.123	5.000	4.278	4.174	0.845	0.833
5.123	5.000	4.173	4.066	0.950	0.940
5.123	5.000	4.363	4.261	0.760	0.747
5.123	5.000	4.061	3.951	1.062	1.053
5.123	5.000	4.575	4.477	0.548	0.530
5.123	5.000	3.849	3.733	1.274	1.266
5.123	5.000	4.178	4.071	0.945	0.935
5.123	5.000	4.586	4.489	0.537	0.518
5.123	5.000	3.991	3.879	1.132	1.123
5.123	5.000	3.857	3.742	1.266	1.258
5.123	5.000	3.896	3.781	1.227	1.219
5.123	5.000	4.413	4.312	0.710	0.696
5.123	5.000	4.158	4.051	0.965	0.954
5.123	5.000	4.305	4.201	0.818	0.806
5.123	5.000	4.312	4.209	0.811	0.799
5.123	5.000	4.049	3.938	1.074	1.065
5.123	5.000	3.967	3.854	1.156	1.148
5.123	5.000	3.857	3.742	1.266	1.258
5.123	5.000	4.358	4.256	0.765	0.752
5.123	5.000	3.858	3.742	1.265	1.257
5.123	5.000	4.404	4.303	0.719	0.705
5.123	5.000	4.523	4.425	0.600	0.583
5.123	5.000	4.585	4.488	0.537	0.519
5.123	5.000	4.215	4.109	0.908	0.897
5.123	5.000	4.332	4.229	0.791	0.778
5.123	5.000	3.873	3.758	1.250	1.242
5.123	5.000	4.644	4.549	0.479	0.458
5.123	5.000	4.665	4.569	0.458	0.437
5.123	5.000	4.381	4.280	0.742	0.728
5.123	5.000	4.360	4.258	0.763	0.750
5.123	5.000	4.315	4.212	0.808	0.796
5.123	5.000	3.984	3.872	1.139	1.131
5.123	5.000	4.040	3.929	1.083	1.074
5.123	5.000	4.246	4.141	0.877	0.866
5.123	5.000	4.401	4.300	0.722	0.708
5.123	5.000	3.900	3.785	1.223	1.215
5.123	5.000	4.000	3.889	1.122	1.114
5.123	5.000	4.479	4.379	0.644	0.629
5.123	5.000	3.970	3.858	1.153	1.144
5.123	5.000	4.117	4.008	1.006	0.996
5.123	5.000	4.028	3.917	1.095	1.086
5.123	5.000	4.279	4.175	0.844	0.833
5.123	5.000	4.520	4.422	0.603	0.587
5.123	5.000	4.417	4.316	0.706	0.692
5.123	5.000	4.585	4.488	0.538	0.519
5.123	5.000	4.066	3.956	1.057	1.048
5.123	5.000	4.600	4.503	0.523	0.504
5.123	5.000	4.545	4.447	0.578	0.561
5.123	5.000	4.105	3.996	1.018	1.008
5.123	5.000	4.541	4.443	0.582	0.565
5.123	5.000	3.850	3.734	1.273	1.265
5.123	5.000	4.024	3.913	1.099	1.090
5.123	5.000	4.134	4.027	0.989	0.979
5.123	5.000	4.510	4.412	0.612	0.596
5.123	5.000	4.632	4.536	0.491	0.471
5.123	5.000	4.644	4.548	0.479	0.458
5.123	5.000	3.911	3.797	1.212	1.204
5.123	5.000	4.083	3.974	1.040	1.031
5.123	5.000	4.553	4.455	0.570	0.553
5.123	5.000	3.893	3.779	1.230	1.222
5.123	5.000	3.887	3.772	1.236	1.228
5.123	5.000	3.847	3.731	1.276	1.268
5.123	5.000	3.990	3.878	1.133	1.124
5.123	5.000	3.936	3.823	1.187	1.178
5.123	5.000	3.928	3.814	1.195	1.187
5.123	5.000	4.587	4.490	0.536	0.518
5.123	5.000	4.474	4.374	0.649	0.634
5.123	5.000	4.156	4.049	0.967	0.957
5.123	5.000	4.127	4.019	0.996	0.986
5.123	5.000	3.917	3.803	1.206	1.198
5.123	5.000	3.950	3.836	1.173	1.165
5.123	5.000	3.952	3.839	1.171	1.162
5.123	5.000	4.384	4.282	0.739	0.726
5.123	5.000	4.338	4.235	0.785	0.772
5.123	5.000	3.887	3.772	1.236	1.228
5.123	5.000	4.222	4.116	0.901	0.890
5.123	5.000	4.223	4.117	0.900	0.889
5.123	5.000	3.933	3.820	1.189	1.181
5.123	5.000	4.204	4.098	0.919	0.908
5.123	5.000	4.325	4.222	0.798	0.786
5.123	5.000	4.199	4.093	0.924	0.913
5.123	5.000	4.241	4.136	0.882	0.870
5.123	5.000	3.913	3.798	1.210	1.202
5.123	5.000	4.336	4.234	0.787	0.774
5.123	5.000	4.195	4.089	0.928	0.917
5.123	5.000	4.584	4.487	0.539	0.520
5.123	5.000	4.468	4.369	0.655	0.640
5.123	5.000	4.721	4.626	0.402	0.377
5.123	5.000	4.412	4.311	0.711	0.697
5.123	5.000	4.609	4.512	0.514	0.495
5.123	5.000	4.738	4.645	0.385	0.358
5.123	5.000	4.494	4.395	0.629	0.613
5.123	5.000	4.073	3.963	1.050	1.041
5.123	5.000	4.344	4.241	0.779	0.767
5.123	5.000	4.380	4.279	0.742	0.729
5.123	5.000	3.976	3.864	1.147	1.138
5.123	5.000	4.462	4.362	0.661	0.646
5.123	5.000	4.405	4.304	0.718	0.704
5.123	5.000	4.248	4.143	0.875	0.864
5.123	5.000	4.096	3.987	1.027	1.018
5.123	5.000	4.074	3.964	1.049	1.040
5.123	5.000	4.365	4.263	0.758	0.745
5.123	5.000	4.001	3.889	1.122	1.113
5.123	5.000	4.002	3.890	1.121	1.112
5.123	5.000	4.522	4.423	0.601	0.585
5.123	5.000	4.424	4.323	0.699	0.685
5.123	5.000	4.572	4.475	0.551	0.533
5.123	5.000	4.217	4.112	0.906	0.895
5.123	5.000	4.190	4.083	0.933	0.923
5.123	5.000	3.957	3.845	1.166	1.157
5.123	5.000	4.193	4.087	0.930	0.919
5.123	5.000	4.428	4.328	0.695	0.680
5.123	5.000	3.929	3.815	1.194	1.186
5.123	5.000	4.059	3.950	1.064	1.054
5.123	5.000	4.699	4.604	0.424	0.400
5.123	5.000	4.212	4.106	0.911	0.901
5.123	5.000	3.898	3.783	1.225	1.217
5.123	5.000	3.920	3.806	1.203	1.194
5.123	5.000	4.015	3.904	1.108	1.099
5.123	5.000	4.067	3.957	1.056	1.047
5.123	5.000	3.928	3.814	1.195	1.187
5.123	5.000	4.738	4.645	0.385	0.358
5.123	5.000	4.500	4.401	0.623	0.607
5.123	5.000	4.286	4.183	0.836	0.825
5.123	5.000	4.159	4.051	0.964	0.954
5.123	5.000	4.133	4.026	0.990	0.980
5.123	5.000	4.191	4.085	0.932	0.921
5.123	5.000	4.298	4.194	0.825	0.813
5.123	5.000	4.490	4.390	0.633	0.618
5.123	5.000	3.867	3.751	1.256	1.248
5.123	5.000	4.331	4.229	0.792	0.779
5.123	5.000	4.491	4.392	0.632	0.617
5.123	5.000	4.405	4.303	0.718	0.705
5.123	5.000	4.582	4.485	0.541	0.522
5.123	5.000	4.239	4.134	0.884	0.873
5.123	5.000	3.878	3.763	1.245	1.237
5.123	5.000	4.068	3.958	1.055	1.046
5.123	5.000	3.918	3.804	1.205	1.197
5.123	5.000	3.891	3.776	1.232	1.224
5.123	5.000	3.885	3.770	1.238	1.230
5.123	5.000	4.480	4.381	0.643	0.628
5.123	5.000	4.156	4.048	0.967	0.957
5.123	5.000	4.000	3.889	1.123	1.114
