Plx	Ply	Plz	Ppx	Ppy	Ppz	Ppix	Ppiy	Ppiz
4.538	2.097	0.000	3.680	1.619	0.061	0.858	0.478	-0.061
4.986	-0.377	-0.000	3.916	-0.361	-0.035	1.070	-0.016	0.035
4.770	-1.499	0.000	3.847	-1.277	0.066	0.923	-0.222	-0.066
4.273	-2.596	0.000	3.754	-2.375	-0.040	0.519	-0.220	0.040
4.714	1.668	-0.000	3.983	1.386	-0.097	0.731	0.282	0.097
3.775	3.279	-0.000	3.328	2.987	0.040	0.447	0.292	-0.040
4.987	-0.369	0.000	4.611	-0.379	0.027	0.376	0.010	-0.027
3.534	3.537	0.000	2.875	2.768	0.038	0.659	0.769	-0.038
2.385	4.394	-0.000	1.841	3.403	0.065	0.544	0.992	-0.065
4.341	2.481	0.000	3.823	2.140	0.086	0.518	0.341	-0.086
4.869	-1.138	-0.000	3.985	-0.980	0.079	0.884	-0.158	-0.079
4.666	1.794	0.000	4.093	1.659	-0.055	0.573	0.135	0.055
4.913	-0.931	-0.000	4.352	-0.909	-0.025	0.561	-0.022	0.025
4.543	-2.089	-0.000	3.892	-1.874	0.057	0.651	-0.215	-0.057
4.989	0.337	0.000	4.210	0.188	0.015	0.779	0.149	-0.015
4.883	-1.076	-0.000	3.821	-0.839	-0.073	1.061	-0.237	0.073
4.640	-1.864	0.000	3.779	-1.482	-0.087	0.861	-0.382	0.087
3.877	-3.157	0.000	3.457	-2.913	-0.032	0.419	-0.244	0.032
4.413	2.349	-0.000	3.338	1.805	-0.036	1.075	0.544	0.036
4.871	1.131	0.000	4.447	1.021	-0.067	0.424	0.110	0.067
4.868	-1.140	-0.000	4.147	-1.004	0.096	0.721	-0.136	-0.096
2.703	-4.205	-0.000	2.181	-3.442	-0.098	0.523	-0.764	0.098
2.266	-4.456	0.000	1.878	-3.815	-0.090	0.388	-0.641	0.090
4.584	-1.998	-0.000	3.700	-1.707	-0.033	0.884	-0.291	0.033
4.088	2.879	-0.000	3.309	2.402	0.077	0.779	0.477	-0.077
3.444	-3.626	-0.000	2.863	-2.886	0.016	0.580	-0.740	-0.016
4.722	-1.642	0.000	4.363	-1.520	-0.055	0.359	-0.122	0.055
4.923	-0.869	0.000	3.694	-0.673	-0.011	1.229	-0.196	0.011
4.422	2.333	-0.000	3.905	1.950	-0.001	0.517	0.383	0.001
2.130	-4.523	0.000	1.634	-3.629	0.057	0.496	-0.895	-0.057
4.472	2.236	-0.000	3.562	1.744	-0.080	0.909	0.492	0.080
4.871	-1.126	0.000	4.339	-1.007	0.088	0.532	-0.120	-0.088
3.959	-3.054	0.000	3.288	-2.451	-0.071	0.671	-0.603	0.071
4.894	-1.024	-0.000	4.214	-0.984	0.016	0.679	-0.041	-0.016
4.596	-1.970	0.000	3.521	-1.556	0.018	1.075	-0.414	-0.018
3.796	-3.253	0.000	2.985	-2.665	0.048	0.811	-0.588	-0.048
4.374	2.422	-0.000	3.810	1.995	-0.004	0.564	0.427	0.004
4.934	-0.812	-0.000	4.068	-0.768	0.017	0.866	-0.044	-0.017
2.256	4.462	-0.000	1.785	3.421	0.032	0.471	1.041	-0.032
3.273	3.778	-0.000	2.669	3.207	-0.067	0.604	0.571	0.067
3.644	3.423	0.000	2.731	2.550	0.007	0.913	0.873	-0.007
4.994	-0.245	0.000	4.149	-0.302	0.012	0.845	0.057	-0.012
4.787	-1.445	0.000	3.721	-1.061	0.011	1.066	-0.384	-0.011
4.996	0.216	0.000	4.113	0.259	-0.043	0.884	-0.044	0.043
2.820	-4.128	-0.000	2.113	-3.094	0.009	0.707	-1.034	-0.009
4.658	-1.817	0.000	4.114	-1.669	-0.069	0.544	-0.148	0.069
4.620	1.910	-0.000	3.476	1.428	0.032	1.144	0.482	-0.032
4.939	0.776	0.000	4.544	0.750	-0.048	0.396	0.027	0.048
4.954	0.673	-0.000	4.053	0.480	-0.066	0.901	0.193	0.066
4.992	-0.273	-0.000	4.261	-0.294	0.086	0.731	0.021	-0.086
4.571	2.028	0.000	3.524	1.514	-0.024	1.046	0.513	0.024
4.439	2.301	-0.000	3.699	2.032	-0.010	0.740	0.269	0.010
4.982	0.428	-0.000	4.486	0.355	-0.075	0.496	0.074	0.075
2.774	4.160	0.000	2.216	3.200	0.008	0.558	0.959	-0.008
4.736	1.602	0.000	4.022	1.282	0.067	0.714	0.321	-0.067
3.719	3.341	0.000	3.168	2.881	-0.100	0.552	0.459	0.100
4.779	1.469	-0.000	4.251	1.393	-0.030	0.528	0.076	0.030
4.684	1.751	0.000	4.267	1.652	0.037	0.417	0.099	-0.037
4.008	-2.989	0.000	3.511	-2.610	0.096	0.496	-0.380	-0.096
4.418	-2.342	-0.000	3.516	-1.925	-0.061	0.902	-0.418	0.061
4.778	-1.474	-0.000	4.316	-1.377	0.063	0.462	-0.097	-0.063
1.817	4.658	-0.000	1.349	3.651	-0.013	0.468	1.007	0.013
3.995	3.007	0.000	3.476	2.706	0.058	0.519	0.301	-0.058
2.518	4.320	0.000	1.899	3.379	0.014	0.619	0.941	-0.014
4.604	1.950	0.000	3.900	1.660	0.102	0.704	0.289	-0.102
1.369	4.808	0.000	1.035	3.906	-0.065	0.335	0.901	0.065
4.814	1.353	0.000	4.395	1.177	0.037	0.419	0.176	-0.037
4.816	1.346	0.000	4.241	1.175	0.088	0.575	0.171	-0.088
2.564	-4.293	0.000	2.203	-3.829	-0.058	0.361	-0.463	0.058
4.958	-0.642	-0.000	4.120	-0.530	-0.102	0.838	-0.111	0.102
3.733	-3.327	-0.000	3.064	-2.862	-0.024	0.669	-0.465	0.024
4.757	1.537	-0.000	3.924	1.214	-0.085	0.834	0.324	0.085
4.140	-2.802	0.000	3.680	-2.571	0.056	0.461	-0.231	-0.056
4.714	-1.664	-0.000	3.581	-1.328	0.011	1.133	-0.336	-0.011
4.911	-0.937	0.000	4.020	-0.729	-0.091	0.891	-0.207	0.091
4.453	2.275	-0.000	3.604	1.932	-0.044	0.849	0.343	0.044
3.334	3.727	-0.000	2.635	2.940	0.081	0.698	0.787	-0.081
4.771	1.494	-0.000	4.088	1.376	0.047	0.683	0.118	-0.047
4.867	1.144	-0.000	3.641	0.860	0.003	1.225	0.284	-0.003
4.558	2.055	-0.000	4.075	1.864	-0.082	0.483	0.191	0.082
4.292	-2.567	0.000	3.548	-2.070	-0.080	0.743	-0.497	0.080
4.462	-2.256	-0.000	3.722	-1.864	-0.095	0.740	-0.392	0.095
3.742	3.316	0.000	2.954	2.660	-0.079	0.788	0.656	0.079
4.476	-2.227	-0.000	3.343	-1.663	0.003	1.133	-0.565	-0.003
4.885	1.067	0.000	3.919	0.933	-0.045	0.967	0.133	0.045
3.567	-3.504	-0.000	2.916	-2.953	0.074	0.651	-0.551	-0.074
4.059	2.920	0.000	3.392	2.420	-0.097	0.667	0.500	0.097
4.479	-2.222	-0.000	3.743	-1.961	0.043	0.736	-0.261	-0.043
4.258	-2.621	-0.000	3.235	-2.040	0.036	1.023	-0.580	-0.036
4.961	-0.623	-0.000	4.110	-0.471	0.085	0.851	-0.153	-0.085
3.854	3.185	-0.000	3.082	2.666	0.020	0.772	0.520	-0.020
4.188	-2.730	0.000	3.319	-2.167	-0.086	0.870	-0.563	0.086
3.688	3.377	0.000	2.873	2.729	-0.021	0.815	0.648	0.021
3.826	3.219	-0.000	3.397	2.786	-0.073	0.429	0.433	0.073
2.788	4.151	0.000	2.217	3.469	0.020	0.572	0.682	-0.020
4.878	1.092	-0.000	4.306	0.932	0.093	0.572	0.160	-0.093
4.679	1.763	-0.000	4.230	1.658	0.037	0.450	0.106	-0.037
4.919	-0.891	-0.000	4.260	-0.785	-0.102	0.659	-0.106	0.102
4.817	1.338	-0.000	3.606	1.034	-0.007	1.210	0.304	0.007
4.970	0.536	-0.000	4.207	0.385	0.080	0.763	0.151	-0.080
4.599	-1.959	0.000	3.429	-1.463	-0.010	1.171	-0.495	0.010
4.996	0.213	0.000	4.254	0.225	0.084	0.742	-0.012	-0.084
4.998	0.119	0.000	3.745	0.073	0.009	1.253	0.046	-0.009
4.771	1.497	-0.000	4.060	1.365	-0.042	0.711	0.132	0.042
5.001	0.007	-0.000	3.892	0.002	-0.062	1.108	0.005	0.062
4.863	-1.164	-0.000	4.283	-0.992	0.086	0.580	-0.172	-0.086
4.897	-1.011	0.000	4.230	-0.962	0.041	0.667	-0.049	-0.041
3.895	-3.134	0.000	3.315	-2.538	0.029	0.580	-0.596	-0.029
3.947	-3.069	-0.000	3.304	-2.445	-0.028	0.643	-0.623	0.028
4.771	-1.496	0.000	4.301	-1.390	0.069	0.470	-0.107	-0.069
2.606	4.267	-0.000	2.017	3.358	-0.072	0.589	0.909	0.072
1.947	-4.606	0.000	1.578	-3.921	-0.065	0.369	-0.685	0.065
3.974	3.036	-0.000	3.234	2.524	-0.081	0.740	0.512	0.081
3.100	-3.923	0.000	2.452	-3.092	-0.079	0.648	-0.831	0.079
4.946	-0.736	-0.000	4.502	-0.718	0.048	0.444	-0.017	-0.048
1.935	-4.610	-0.000	1.590	-3.867	-0.101	0.345	-0.743	0.101
4.996	0.195	-0.000	4.468	0.258	-0.009	0.528	-0.063	0.009
4.756	1.541	-0.000	3.805	1.330	0.007	0.951	0.211	-0.007
3.049	-3.963	0.000	2.576	-3.500	0.033	0.473	-0.463	-0.033
4.533	-2.107	-0.000	3.405	-1.567	0.021	1.129	-0.540	-0.021
4.585	-1.993	-0.000	4.023	-1.844	0.040	0.561	-0.149	-0.040
4.993	-0.269	-0.000	4.123	-0.257	0.087	0.871	-0.012	-0.087
2.642	4.244	-0.000	2.070	3.506	0.018	0.572	0.739	-0.018
4.923	-0.872	-0.000	3.832	-0.736	-0.048	1.091	-0.137	0.048
4.143	2.798	-0.000	3.381	2.374	-0.074	0.761	0.424	0.074
5.000	-0.084	0.000	4.119	-0.002	-0.066	0.881	-0.083	0.066
2.377	-4.400	-0.000	1.994	-3.759	-0.089	0.383	-0.641	0.089
4.989	-0.344	-0.000	4.417	-0.349	-0.072	0.572	0.005	0.072
4.976	0.488	-0.000	4.495	0.359	0.001	0.481	0.128	-0.001
4.043	2.942	0.000	3.334	2.510	0.074	0.709	0.431	-0.074
4.708	1.685	0.000	3.812	1.413	-0.079	0.896	0.272	0.079
4.698	-1.711	-0.000	4.017	-1.418	0.095	0.681	-0.293	-0.095
