PhiL	ThetaL	PhiP	ThetaP	PhiPi	ThetaPi
0.000   0.433	1.556   0.414   1.633   0.508
0.000   6.208	4.704   3.050   1.538   -0.015
0.000   5.979	4.729   2.821   1.641   -0.236
0.000   5.737	4.703   2.577   1.499   -0.401
0.000   0.340	1.594   0.335   1.448   0.368
0.000   0.715	1.562   0.731   1.645   0.579
0.000   6.209	4.718   3.060   1.641   0.027
0.000   0.786	1.561   0.766   1.608   0.862
0.000   1.074	1.554   1.075   1.628   1.070
0.000   0.519	1.551   0.510   1.709   0.582
0.000   6.054	4.732   2.901   1.658   -0.177
0.000   0.367	1.583   0.385   1.478   0.232
0.000   6.096	4.707   2.936   1.526   -0.039
0.000   5.852	4.726   2.693   1.654   -0.318
0.000   0.067	1.567   0.045   1.590   0.189
0.000   6.066	4.694   2.925   1.504   -0.219
0.000   5.901	4.691   2.768   1.479   -0.418
0.000   5.600	4.705   2.441   1.506   -0.527
0.000   0.489	1.580   0.496   1.541   0.469
0.000   0.228	1.585   0.226   1.419   0.255
0.000   6.053	4.735   2.904   1.700   -0.187
0.000   5.284	4.688   2.136   1.466   -0.971
0.000   5.183	4.691   2.028   1.451   -1.026
0.000   5.872	4.704   2.709   1.535   -0.318
0.000   0.614	1.552   0.628   1.655   0.549
0.000   5.472	4.716   2.352   1.588   -0.906
0.000   5.948	4.701   2.806   1.427   -0.328
0.000   6.109	4.710   2.961   1.562   -0.158
0.000   0.485	1.571   0.463   1.570   0.638
0.000   5.153	4.727   1.994   1.627   -1.065
0.000   0.464	1.591   0.455   1.493   0.496
0.000   6.056	4.732   2.914   1.731   -0.221
0.000   5.626	4.695   2.501   1.493   -0.732
0.000   6.077	4.716   2.912   1.594   -0.060
0.000   5.878	4.717   2.725   1.586   -0.367
0.000   5.575	4.724   2.413   1.619   -0.627
0.000   0.506	1.572   0.482   1.565   0.648
0.000   6.120	4.716   2.955   1.590   -0.051
0.000   1.103	1.563   1.090   1.598   1.145
0.000   0.857	1.587   0.877   1.490   0.758
0.000   0.754	1.569   0.751   1.577   0.763
0.000   6.234	4.715   3.069   1.585   0.068
0.000   5.990	4.715   2.864   1.581   -0.345
0.000   0.043	1.581   0.063   1.523   -0.050
0.000   5.312	4.715   2.170   1.578   -0.971
0.000   5.911	4.697   2.756   1.449   -0.266
0.000   0.392	1.562   0.390   1.597   0.398
0.000   0.156	1.581   0.163   1.451   0.067
0.000   0.135	1.587   0.118   1.500   0.211
0.000   6.229	4.733   3.073   1.688   0.029
0.000   0.418	1.577   0.406   1.551   0.456
0.000   0.478	1.573   0.502   1.558   0.348
0.000   0.086	1.587   0.079   1.422   0.148
0.000   0.983	1.569   0.965   1.578   1.044
